Branch,Category,Gender,Year,Closing Rank
COMPUTER ENG., HOGC, Male, 2024, 57627
COMPUTER ENG., HOGC, Female, 2024, 53675
COMPUTER ENG., BC-A, Male, 2024, 62640
COMPUTER ENG., BC-A, Female, 2024, 85086
COMPUTER ENG., BC-B, Male, 2024, 67399
COMPUTER ENG., BC-B, Female, 2024, 84562
COMPUTER ENG., SC, Male, 2024, 219111
COMPUTER ENG., SC, Female, 2024, 508667
COMPUTER ENG., ROHC, Male, 2024, 60076
COMPUTER ENG., ROHC, Female, 2024, 70264
COMPUTER ENG., EWS, Male, 2024, 46401
COMPUTER ENG., EWS, Female, 2024, 48232
COMPUTER ENG., TFW, Male, 2024, 41792
COMPUTER ENG., TFW, Female, 2024, 23153
COMPUTER ENG., HGST, Male, 2024, 102642
COMPUTER DATA SCIENCE, HOGC, Male, 2024, 65744
COMPUTER DATA SCIENCE, HOGC, Female, 2024, 66678
COMPUTER DATA SCIENCE, BC-A, Male, 2024, 74419
COMPUTER DATA SCIENCE, BC-A, Female, 2024, 98517
COMPUTER DATA SCIENCE, BC-B, Male, 2024, 68395
COMPUTER DATA SCIENCE, BC-B, Female, 2024, 85799
COMPUTER DATA SCIENCE, SC, Male, 2024, 236874
COMPUTER DATA SCIENCE, SC, Female, 2024, 281315
COMPUTER DATA SCIENCE, HGST, Male, 2024, 175096
COMPUTER DATA SCIENCE, ROHC, Male, 2024, 65382
COMPUTER DATA SCIENCE, ROHC, Female, 2024, 83760
COMPUTER DATA SCIENCE, EWS, Male, 2024, 39801
COMPUTER DATA SCIENCE, EWS, Female, 2024, 42831
COMPUTER DATA SCIENCE, TFW, Male, 2024, 44862
COMPUTER DATA SCIENCE, TFW, Female, 2024, 45271
IT, HOGC, Male, 2024, 70505
IT, HOGC, Female, 2024, 70252
IT, BC-A, Male, 2024, 69802
IT, BC-A, Female, 2024, 91358
IT, BC-B, Male, 2024, 79972
IT, BC-B, Female, 2024, 79359
IT, SC, Male, 2024, 270186
IT, SC, Female, 2024, 690948
IT, HGST, Male, 2024, 113205
IT, ROHC, Male, 2024, 68382
IT, ROHC, Female, 2024, 89188
IT, EWS, Male, 2024, 56583
IT, TFW, Male, 2024, 51498
ECE, HOGC, Male, 2024, 111748
ECE, HOGC, Female, 2024, 103314
ECE, BC-A, Male, 2024, 114480
ECE, BC-A, Female, 2024, 161906
ECE, BC-B, Male, 2024, 116989
ECE, BC-B, Female, 2024, 98626
ECE, SC, Male, 2024, 459346
ECE, SC, Female, 2024, 463366
ECE, HGST, Male, 2024, 179674
ECE, ROHC, Male, 2024, 91963
ECE, ROHC, Female, 2024, 132853
ECE, EWS, Male, 2024, 72147
ECE, TFW, Female, 2024, 71623
ENC, HOGC, Male, 2024, 98959
ENC, HOGC, Female, 2024, 85162
ENC, BC-A, Male, 2024, 94044
ENC, BC-A, Female, 2024, 141935
ENC, BC-B, Male, 2024, 94744
ENC, BC-B, Female, 2024, 97786
ENC, SC, Male, 2024, 360102
ENC, SC, Female, 2024, 327080
ENC, HGST, Male, 2024, 249484
ENC, ROHC, Male, 2024, 94620
ENC, ROHC, Female, 2024, 110031
ENC, EWS, Male, 2024, 73834
ENC, TFW, Male, 2024, 69896
ELECTRONICS (IOT), HOGC, Male, 2024, 141305
ELECTRONICS (IOT), HOGC, Female, 2024, 149054
ELECTRONICS (IOT), BC-A, Male, 2024, 162600
ELECTRONICS (IOT), BC-A, Female, 2024, 177199
ELECTRONICS (IOT), BC-B, Male, 2024, 150729
ELECTRONICS (IOT), BC-B, Female, 2024, 148059
ELECTRONICS (IOT), SC, Male, 2024, 679071
ELECTRONICS (IOT), SC, Female, 2024, 553740
ELECTRONICS (IOT), HGST, Male, 2024, 193383
ELECTRONICS (IOT), ROHC, Male, 2024, 205917
ELECTRONICS (IOT), ROHC, Female, 2024, 162843
ELECTRONICS (IOT), EWS, Male, 2024, 80867
ELECTRONICS (IOT), TFW, Male, 2024, 74093
RAI, HOGC, Male, 2024, 135754
RAI, HOGC, Female, 2024, 186286
RAI, BC-A, Male, 2024, 123344
RAI, BC-A, Female, 2024, 103189
RAI, BC-B, Male, 2024, 135988
RAI, BC-B, Female, 2024, 1332256
RAI, SC, Male, 2024, 315540
RAI, SC, Female, 2024, 236690
RAI, HGST, Male, 2024, 107660
RAI, ROHC, Male, 2024, 124034
RAI, ROHC, Female, 2024, 150970
RAI, EWS, Male, 2024, 125309
RAI, EWS, Female, 2024, 112567
RAI, TFW, Male, 2024, 109147
ELECTRICAL, HOGC, Male, 2024, 483981
ELECTRICAL, HOGC, Female, 2024, 429163
ELECTRICAL, BC-A, Male, 2024, 219070
ELECTRICAL, BC-A, Female, 2024, 409131
ELECTRICAL, BC-B, Male, 2024, 510010
ELECTRICAL, BC-B, Female, 2024, 371065
ELECTRICAL, SC, Male, 2024, 654574
ELECTRICAL, SC, Female, 2024, 698841
ELECTRICAL, ROHC, Male, 2024, 510662
ELECTRICAL, ROHC, Female, 2024, 290605
ELECTRICAL, EWS, Male, 2024, 86381
ELECTRICAL, TFW, Male, 2024, 82266
ELECTRICAL, TFW, Female, 2024, 78962
COMPUTER ENGINEERING (HINDI), HOGC, Male, 2024, 345085
COMPUTER ENGINEERING (HINDI), HOGC, Female, 2024, 282765
COMPUTER ENGINEERING (HINDI), BC-A, Male, 2024, 520375
COMPUTER ENGINEERING (HINDI), BC-A, Female, 2024, 209906
COMPUTER ENGINEERING (HINDI), BC-B, Male, 2024, 809603
COMPUTER ENGINEERING (HINDI), BC-B, Female, 2024, 385396
COMPUTER ENGINEERING (HINDI), SC, Male, 2024, 432362
COMPUTER ENGINEERING (HINDI), SC, Female, 2024, 476353
COMPUTER ENGINEERING (HINDI), ROHC, Male, 2024, 215631
COMPUTER ENGINEERING (HINDI), ROHC, Female, 2024, 195130
COMPUTER ENGINEERING (HINDI), EWS, Male, 2024, 134740
COMPUTER ENGINEERING (HINDI), TFW, Male, 2024, 134740
ME, HOGC, Male, 2024, 446425
ME, HOGC, Female, 2024, 231657
ME, BC-A, Male, 2024, 289572
ME, BC-A, Female, 2024, 238773
ME, SC, Male, 2024, 771379
ME, SC, Female, 2024, 760432
ME, ROHC, Male, 2024, 379882
ME, ROHC, Female, 2024, 299173
ME, EWS, Male, 2024, 105554
ME, TFW, Male, 2024, 91675
ME, TFW, Female, 2024, 101186
ME (HINDI), HOGC, Male, 2024, 1055408
ME (HINDI), HOGC, Female, 2024, 336103
ME (HINDI), BC-A, Male, 2024, 315250
ME (HINDI), BC-A, Female, 2024, 772606
ME (HINDI), BC-B, Male, 2024, 344203
ME (HINDI), BC-B, Female, 2024, 369529
ME (HINDI), SC, Male, 2024, 1065353
ME (HINDI), ROHC, Male, 2024, 936565
ME (HINDI), ROHC, Female, 2024, 902267
ME (HINDI), EWS, Male, 2024, 234329
CIVIL, HOGC, Male, 2024, 1064006
CIVIL, HOGC, Female, 2024, 946783
CIVIL, BC-A, Male, 2024, 748813
CIVIL, BC-A, Female, 2024, 495256
CIVIL, BC-B, Male, 2024, 905306
CIVIL, BC-B, Female, 2024, 304093
CIVIL, SC, Male, 2024, 963652
CIVIL, SC, Female, 2024, 571635
CIVIL, HGST, Male, 2024, 570932
CIVIL, ROHC, Male, 2024, 931084
CIVIL, ROHC, Female, 2024, 571635
CIVIL, EWS, Male, 2024, 137873
CIVIL, EWS, Female, 2024, 119485
CIVIL, TFW, Male, 2024, 128678
ENV, HOGC, Male, 2024, 211379
ENV, HOGC, Female, 2024, 945358
ENV, BC-A, Male, 2024, 221230
ENV, BC-A, Female, 2024, 333269
ENV, BC-B, Male, 2024, 127831
ENV, BC-B, Female, 2024, 748440
ENV, SC, Male, 2024, 508997
ENV, SC, Female, 2024, 848607
ENV, ROHC, Male, 2024, 136933
ENV, ROHC, Female, 2024, 231038
ENV, EWS, Male, 2024, 207397

